#x=tau [fm/c]	y=eta	z=az Spin Potential
1.0004	3.5000000000000018	0.08069094221616778
1.0004	3.700000000000001	0.0723028979827061
1.0004	3.9000000000000004	0.06487405055382946
1.0004	4.100000000000001	0.058280534249355184
1.0004	4.300000000000001	0.05241473915405907
1.0004	4.500000000000002	0.047184687494743346
1.0004	4.700000000000001	0.042512172448206126
1.0004	4.9	0.03832927966338016
1.0004	5.100000000000001	0.03457906414069892
1.0004	5.300000000000001	0.031211527430008424
1.0004	5.500000000000002	0.028183950118099398
1.0004	5.700000000000001	0.025459174558775315
1.0004	5.9	0.023004494335973544
1.0004	6.1	0.020791665637163753
1.0004	6.3000000000000025	0.018795438892522758
1.0004	6.500000000000002	0.016993724642085484
1.0004	6.700000000000001	0.015366859828549613
1.0004	6.9	0.013897274326052258
1.0004	7.1	0.012569439979716962
1.0004	7.3000000000000025	0.011369317900366485
1.0004	7.500000000000002	0.010284440281323144
1.0004	7.700000000000001	0.00930357076906462
1.0004	7.9	0.008416591310215087
1.0004	8.1	0.007614457362356489
1.0004	8.300000000000002	0.006888949289287665
1.0004	8.500000000000002	0.0062327211548486895
1.0004	8.700000000000001	0.005639113717983429
1.0004	8.9	0.0051021148539477975
1.0004	9.100000000000003	0.004616322668161688
1.0004	9.300000000000002	0.004176817649073472
1.0004	9.500000000000002	0.003779202683134678
1.0004	9.700000000000001	0.003419455614060165
1.0004	9.9	0.003093954404753897
1.0004	10.100000000000003	0.0027994771373089367
1.0008	-10.1	-0.0027989187520140427
1.0008	-9.9	-0.003093337332914312
1.0008	-9.7	-0.0034187738962687276
1.0008	-9.5	-0.003778449649465495
1.0008	-9.299999999999999	-0.004175999264789175
1.0008	-9.1	-0.004615405516438489
1.0008	-8.899999999999999	-0.005101117426241517
1.0008	-8.7	-0.005638004299746206
1.0008	-8.5	-0.006231499941619477
1.0008	-8.299999999999999	-0.0068876078792111895
1.0008	-8.1	-0.007612956884116659
1.0008	-7.8999999999999995	-0.008414962616712771
1.0008	-7.699999999999999	-0.009301756754954399
1.0008	-7.5	-0.010282454256803518
1.0008	-7.299999999999999	-0.011367140132992146
1.0008	-7.1	-0.01256700938596764
1.0008	-6.8999999999999995	-0.01389465335754687
1.0008	-6.699999999999999	-0.015363935222032539
1.0008	-6.5	-0.016990559903799114
1.0008	-6.299999999999999	-0.018791988791630777
1.0008	-6.1	-0.0207878312671688
1.0008	-5.8999999999999995	-0.02300043309561542
1.0008	-5.699999999999999	-0.025454622824094362
1.0008	-5.499999999999999	-0.028179169709942168
